+------------------+-----------------------------+-----------------------+
| id_pessoa_fisica | nom_cidade                  | des_estado            |
| 229580907        | AGUA FRIA                   | BAHIA                 |
| 229483760        | FORTALEZA                   | CEARA                 |
| 217926965        | SAO JOSE DE RIBAMAR         | MARANHAO              |
| 408974168        | NATAL                       | RIO GRANDE DO NORTE   |
| 31517176         | SAO CARLOS                  | SAO PAULO             |
| 417414187        | CAMACARI                    | BAHIA                 |
| 246054869        | ABREU E LIMA                | PERNAMBUCO            |
| 368055232        | JACOBINA                    | BAHIA                 |
| 254370261        | SALVADOR                    | BAHIA                 |
| 132435104        | BELO HORIZONTE              | MINAS GERAIS          |
| 51042536         | RESENDE                     | RIO DE JANEIRO        |
| 36104853         | SAO PAULO                   | SAO PAULO             |
| 254089101        | SANTOS                      | SAO PAULO             |
| 95794981         | CANAA DOS CARAJAS           | PARA                  |
| 106444293        | MANAUS                      | AMAZONAS              |
| 108110960        | CHA DE ALEGRIA              | PERNAMBUCO            |
| 113975229        | SERRA                       | ESPIRITO SANTO        |
| 115853603        | CHORO                       | CEARA                 |
| 227516507        | JOAO PESSOA                 | PARAIBA               |
| 355436285        | PAULO AFONSO                | BAHIA                 |
| 7076512          | SAO PAULO                   | SAO PAULO             |
| 14331573         | SAO PAULO                   | SAO PAULO             |
| 98354245         | CUIABA                      | MATO GROSSO           |
| 279443760        | MARACANAU                   | CEARA                 |
| 792630293        | MANAUS                      | AMAZONAS              |
| 659672552        | VIDEIRA                     | SANTA CATARINA        |
| 652049568        | ARACAJU                     | SERGIPE               |
| 279939808        | PARAUAPEBAS                 | PARA                  |
| 399636312        | ALFREDO CHAVES              | ESPIRITO SANTO        |
| 224169176        | PAULISTA                    | PERNAMBUCO            |
| 26678123         | ITAPEVI                     | SAO PAULO             |
| 181468725        | CARATINGA                   | MINAS GERAIS          |
| 158296483        | BARRA DO GARCAS             | MATO GROSSO           |
| 57450059         | SAO PAULO                   | SAO PAULO             |
| 236663939        | BLUMENAU                    | SANTA CATARINA        |
| 740337899        | UMBAUBA                     | SERGIPE               |
| 648343096        | AGUAS LINDAS DE GOIAS       | GOIAS                 |
| 66655152         | CASTANHAL                   | PARA                  |
| 18663760         | CURITIBA                    | PARANA                |
| 125907485        | REDENCAO                    | PARA                  |
| 66975043         | MACEIO                      | ALAGOAS               |
| 142112643        | ALTONIA                     | PARANA                |
| 352548008        | SALVADOR                    | BAHIA                 |
| 22518952         | PIRACICABA                  | SAO PAULO             |
| 335552915        | SALVADOR                    | BAHIA                 |
| 35823800         | TAIUVA                      | SAO PAULO             |
| 55004547         | SAO PAULO                   | SAO PAULO             |
| 40113307         | OSASCO                      | SAO PAULO             |
| 85805408         | JAU                         | SAO PAULO             |
| 137803088        | LAGO NORTE                  | DISTRITO FEDERAL      |
| 252469467        | SANTO ANDRE                 | SAO PAULO             |
| 75017253         | OSASCO                      | SAO PAULO             |
| 385554176        | SANTA VITORIA               | MINAS GERAIS          |
| 259643269        | RIO VERDE                   | GOIAS                 |
| 832384341        | PETROPOLIS                  | RIO DE JANEIRO        |
| 64978589         | LAGO SUL                    | DISTRITO FEDERAL      |
| 204412205        | FORTALEZA                   | CEARA                 |
| 341761989        | FORTALEZA                   | CEARA                 |
| 17417661         | PITANGUI                    | MINAS GERAIS          |
| 52979184         | SAO PAULO                   | SAO PAULO             |
| 151582029        | COLINAS DO TOCANTINS        | TOCANTINS             |
| 33251475         | RIBEIRAO PRETO              | SAO PAULO             |
| 133134885        | RECIFE                      | PERNAMBUCO            |
| 663702973        | PARANATINGA                 | MATO GROSSO           |
| 271914952        | MANAUS                      | AMAZONAS              |
| 127070307        | LAURO DE FREITAS            | BAHIA                 |
| 45883149         | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 37122568         | SAO PAULO                   | SAO PAULO             |
| 79890403         | SAO PAULO                   | SAO PAULO             |
| 135226624        | PATOS DE MINAS              | MINAS GERAIS          |
| 134228437        | BELEM                       | ALAGOAS               |
| 242713632        | SAO JOSE DOS CAMPOS         | SAO PAULO             |
| 188032515        | GOIANIA                     | GOIAS                 |
| 133320843        | MANAUS                      | AMAZONAS              |
| 208451389        | MEDEIROS NETO               | BAHIA                 |
| 63228515         | FORTALEZA                   | CEARA                 |
| 279860720        | ALEXANIA                    | GOIAS                 |
| 152429651        | SALVADOR                    | BAHIA                 |
| 7585680          | ARMACAO DOS BUZIOS          | RIO DE JANEIRO        |
| 831146005        | BELEM                       | PARA                  |
| 663127837        | LAGO NORTE                  | DISTRITO FEDERAL      |
| 68826989         | SATIRO DIAS                 | BAHIA                 |
| 186000205        | ASSARE                      | CEARA                 |
| 745280016        | JUINA                       | MATO GROSSO           |
| 167169299        | IMBE                        | RIO GRANDE DO SUL     |
| 61295792         | GOIANIA                     | GOIAS                 |
| 25207043         | PRINCESA ISABEL             | PARAIBA               |
| 267725853        | IBIRITE                     | MINAS GERAIS          |
| 116277808        | ARACAJU                     | SERGIPE               |
| 338367923        | GUAXUPE                     | MINAS GERAIS          |
| 46872165         | MANAUS                      | AMAZONAS              |
| 249037912        | SAUBARA                     | BAHIA                 |
| 287668749        | CURITIBA                    | PARANA                |
| 273477029        | JI-PARANA                   | RONDONIA              |
| 54877875         | OLINDA                      | PERNAMBUCO            |
| 198926224        | SAO DOMINGOS DO PRATA       | MINAS GERAIS          |
| 195762581        | ITAPEVA                     | SAO PAULO             |
| 796308472        | BARREIRAS                   | BAHIA                 |
| 691040019        | JOSE BONIFACIO              | SAO PAULO             |
| 67440064         | VARZEA GRANDE               | MATO GROSSO           |
| 274030165        | CAMBORIU                    | SANTA CATARINA        |
| 186453984        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 414451109        | BAURU                       | SAO PAULO             |
| 349098893        | SALVADOR                    | BAHIA                 |
| 813547768        | LAURO DE FREITAS            | BAHIA                 |
| 226782680        | MARILIA                     | SAO PAULO             |
| 131705224        | IPIAU                       | BAHIA                 |
| 170729728        | CUIABA                      | MATO GROSSO           |
| 353937291        | BOA VISTA                   | RORAIMA               |
| 660150549        | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 676776955        | JAU                         | SAO PAULO             |
| 764162365        | SALVADOR                    | BAHIA                 |
| 206037621        | CABO DE SANTO AGOSTINHO     | PERNAMBUCO            |
| 685168619        | IGARAPE-MIRI                | PARA                  |
| 690383533        | PARAGUACU PAULISTA          | SAO PAULO             |
| 36620419         | BELO HORIZONTE              | MINAS GERAIS          |
| 84158653         | RIBEIRAO PRETO              | SAO PAULO             |
| 201714701        | SALVADOR                    | BAHIA                 |
| 857225525        | MACEIO                      | ALAGOAS               |
| 719107979        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 94354955         | BELO HORIZONTE              | MINAS GERAIS          |
| 43911128         | SAO PAULO                   | SAO PAULO             |
| 355047901        | BACABAL                     | MARANHAO              |
| 164442296        | SALVADOR                    | BAHIA                 |
| 117623067        | BIRITINGA                   | BAHIA                 |
| 92776760         | COLOMBO                     | PARANA                |
| 198396840        | PAULISTA                    | PERNAMBUCO            |
| 259354491        | PORTO VELHO                 | RONDONIA              |
| 190441493        | DOM VICOSO                  | MINAS GERAIS          |
| 240405096        | SANTO ANTONIO DO MONTE      | MINAS GERAIS          |
| 788411720        | MANAUS                      | AMAZONAS              |
| 378074037        | SERRANOPOLIS DO IGUACU      | PARANA                |
| 80489909         | MAUA                        | SAO PAULO             |
| 92098976         | LIMEIRA                     | SAO PAULO             |
| 736059544        | PARAUAPEBAS                 | PARA                  |
| 344238184        | NAZAREZINHO                 | PARAIBA               |
| 111804168        | PIRACURUCA                  | PIAUI                 |
| 195364272        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 203979568        | LAGOA SANTA                 | GOIAS                 |
| 42890472         | FORTALEZA                   | CEARA                 |
| 674466213        | SAO JOSE DOS CAMPOS         | SAO PAULO             |
| 343324176        | MANAUS                      | AMAZONAS              |
| 652807547        | ANAPOLIS                    | GOIAS                 |
| 847874237        | BELEM                       | PARA                  |
| 394041280        | BELA VISTA                  | MATO GROSSO DO SUL    |
| 761627488        | BRASILIA                    | DISTRITO FEDERAL      |
| 118531667        | LAGO NORTE                  | DISTRITO FEDERAL      |
| 78403819         | GURUPI                      | TOCANTINS             |
| 713061344        | JUARA                       | MATO GROSSO           |
| 154950467        | SAO PAULO                   | SAO PAULO             |
| 345871536        | MIRASSOL                    | SAO PAULO             |
| 748206075        | PRAIA GRANDE                | SAO PAULO             |
| 164000275        | SETE LAGOAS                 | MINAS GERAIS          |
| 193581683        | CUITE                       | PARAIBA               |
| 125888667        | COLONIA DO GURGUEIA         | PIAUI                 |
| 140823347        | RIO VERDE                   | GOIAS                 |
| 295560645        | SIMOES FILHO                | BAHIA                 |
| 213336267        | LAURO DE FREITAS            | BAHIA                 |
| 286526376        | MANAUS                      | AMAZONAS              |
| 181102787        | RECIFE                      | PERNAMBUCO            |
| 26106152         | SANTAREM                    | PARA                  |
| 137170392        | RECIFE                      | PERNAMBUCO            |
| 389042448        | UBERLANDIA                  | MINAS GERAIS          |
| 217283565        | FEIRA DE SANTANA            | BAHIA                 |
| 212099669        | LIMOEIRO DO NORTE           | CEARA                 |
| 169356237        | FLORIANOPOLIS               | SANTA CATARINA        |
| 1444403          | RIBEIRAO DAS NEVES          | MINAS GERAIS          |
| 189864957        | VESPASIANO                  | MINAS GERAIS          |
| 18245565         | VESPASIANO                  | MINAS GERAIS          |
| 253932507        | FORTALEZA                   | CEARA                 |
| 91579221         | BRASILIA                    | DISTRITO FEDERAL      |
| 375452669        | CAJUEIRO                    | ALAGOAS               |
| 140669568        | CUIABA                      | MATO GROSSO           |
| 235615712        | BELO HORIZONTE              | MINAS GERAIS          |
| 129679368        | CARDEAL DA SILVA            | BAHIA                 |
| 118200805        | SANTIAGO                    | RIO GRANDE DO SUL     |
| 124012568        | ANANINDEUA                  | PARA                  |
| 814838789        | IMPERATRIZ                  | MARANHAO              |
| 54156440         | BARRA MANSA                 | RIO DE JANEIRO        |
| 92100243         | SAO PAULO                   | SAO PAULO             |
| 70284109         | JUAZEIRO DO NORTE           | CEARA                 |
| 385623304        | JULIO MESQUITA              | SAO PAULO             |
| 346935003        | ITAMBE                      | PERNAMBUCO            |
| 155890285        | SAO PAULO                   | SAO PAULO             |
| 248410861        | CONTAGEM                    | MINAS GERAIS          |
| 18911877         | SAO PAULO                   | SAO PAULO             |
| 363907075        | ITAMARI                     | BAHIA                 |
| 254477301        | FORTALEZA                   | CEARA                 |
| 130948635        | SANTO ANDRE                 | SAO PAULO             |
| 51176317         | DELMIRO GOUVEIA             | ALAGOAS               |
| 738031093        | SAO PAULO                   | SAO PAULO             |
| 121679821        | TRINDADE                    | GOIAS                 |
| 52814552         | SAO JOAQUIM DA BARRA        | SAO PAULO             |
| 185591528        | BRASILIA                    | DISTRITO FEDERAL      |
| 257811736        | ITAPECERICA DA SERRA        | SAO PAULO             |
| 353034288        | MACEIO                      | ALAGOAS               |
| 117008341        | GRAVATA                     | PERNAMBUCO            |
| 193840843        | VARZEA GRANDE               | MATO GROSSO           |
| 176104419        | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 149125339        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 138797453        | GUARARAPES                  | SAO PAULO             |
| 120092341        | MACAPA                      | AMAPA                 |
| 42814397         | SALVADOR                    | BAHIA                 |
| 414606787        | MANAUS                      | AMAZONAS              |
| 159967461        | FORTALEZA                   | CEARA                 |
| 149642083        | RIO DO PRADO                | MINAS GERAIS          |
| 242339027        | RIO BRANCO                  | ACRE                  |
| 12226680         | ARARAQUARA                  | SAO PAULO             |
| 242001477        | MAIRINQUE                   | SAO PAULO             |
| 71474344         | SAO PAULO                   | SAO PAULO             |
| 62042984         | MARABA                      | PARA                  |
| 353803739        | SAO GONCALO DO AMARANTE     | RIO GRANDE DO NORTE   |
| 872792840        | TUBARAO                     | SANTA CATARINA        |
| 225241877        | BALSAS                      | MARANHAO              |
| 166312275        | VARZEA GRANDE               | MATO GROSSO           |
| 275149968        | SAO PAULO                   | SAO PAULO             |
| 361288472        | LAURO DE FREITAS            | BAHIA                 |
| 60427704         | GOIANIA                     | GOIAS                 |
| 182611547        | CURITIBA                    | PARANA                |
| 87515997         | MANAUS                      | AMAZONAS              |
| 132360523        | BELEM                       | PARA                  |
| 251041861        | BARRA DO MENDES             | BAHIA                 |
| 164615709        | GUARAPUAVA                  | PARANA                |
| 361001555        | MANAUS                      | AMAZONAS              |
| 335350144        | ANAPOLIS                    | GOIAS                 |
| 232888333        | SAO PAULO                   | SAO PAULO             |
| 287161216        | SALVADOR                    | BAHIA                 |
| 198204301        | APIAI                       | SAO PAULO             |
| 116166072        | CARAMBEI                    | PARANA                |
| 113855693        | LINHARES                    | ESPIRITO SANTO        |
| 245200915        | DIADEMA                     | SAO PAULO             |
| 369423645        | ITAICABA                    | CEARA                 |
| 14437523         | SAO PAULO                   | SAO PAULO             |
| 105980061        | TRAIPU                      | ALAGOAS               |
| 335636693        | RECIFE                      | PERNAMBUCO            |
| 280267176        | SALVADOR                    | BAHIA                 |
| 108064117        | PARANAGUA                   | PARANA                |
| 98926453         | CASCAVEL                    | PARANA                |
| 211014128        | SALVADOR                    | BAHIA                 |
| 752125099        | PARNAMIRIM                  | RIO GRANDE DO NORTE   |
| 234099992        | BRASILIA                    | DISTRITO FEDERAL      |
| 220397653        | FORTALEZA                   | CEARA                 |
